'Index';'Force [N]';'Crosshead [mm]';'epsXX [%]';'epsYY [%]'
135;2259,788513;0,841227;-0,001221;0,089222
136;2277,717590;0,847626;-0,001404;0,089256
137;2296,928406;0,855627;-0,000807;0,089996
138;2314,857483;0,862036;-0,001116;0,089599
139;2336,631775;0,868435;0,001346;0,090722
140;2354,560852;0,876446;-0,000867;0,090756
141;2375,053406;0,882845;-0,003650;0,090997
142;2394,264221;0,889254;-0,000287;0,092625
143;2413,475037;0,897255;-0,000595;0,094223
144;2433,967590;0,902061;-0,003731;0,094871
145;2455,734253;0,910063;-0,000098;0,096386
146;2472,389221;0,916462;-0,000123;0,095800
147;2494,155884;0,922871;0,000562;0,096283
148;2513,366699;0,929270;-0,000223;0,097894
149;2531,295776;0,935678;-0,005311;0,097758
150;2551,788330;0,942078;0,003959;0,099606
151;2570,999146;0,948486;-0,001650;0,101285
152;2592,773438;0,954885;0,000252;0,102968
153;2611,984253;0,962896;-0,002723;0,102492
154;2633,758545;0,970898;-0,001858;0,103909
155;2652,969360;0,975695;-0,000536;0,103182
156;2672,180176;0,982103;0,000177;0,104828
157;2695,228577;0,990105;0,000591;0,105205
158;2715,721130;0,996513;-0,003197;0,104458
159;2736,213684;1,004515;-0,002764;0,107636
160;2759,269714;1,010923;-0,001386;0,108889
161;2777,198792;1,014118;0,000097;0,110518
162;2800,247192;1,022129;-0,003292;0,109055
163;2820,739746;1,026926;-0,000339;0,109846
164;2845,077515;1,034937;-0,000695;0,110358
165;2865,570068;1,041336;0,000434;0,111839
166;2887,336731;1,047735;-0,005987;0,111708
167;2909,111023;1,055746;-0,005729;0,113005
168;2930,885315;1,060543;0,000175;0,114258
169;2956,497192;1,066952;-0,000969;0,113719
170;2976,989746;1,074953;-0,003881;0,115277
171;3000,038147;1,081362;-0,001637;0,115113
172;3024,375916;1,089363;-0,004375;0,116584
173;3047,431946;1,097364;-0,001554;0,116747
174;3070,480347;1,102171;-0,002647;0,119959
175;3093,536377;1,110172;-0,007344;0,121026
176;3116,584778;1,114979;-0,001532;0,124964
177;3138,359070;1,121378;0,001040;0,122325
178;3161,415100;1,129389;-0,000945;0,123945
179;3185,745239;1,135788;-0,000479;0,123597
180;3208,801270;1,143789;-0,002090;0,123766
181;3231,849670;1,148596;-0,006354;0,123343
182;3254,905701;1,154995;-0,001193;0,126152
183;3279,235840;1,161404;-0,001118;0,127808
184;3302,291870;1,167803;-0,000445;0,129234
185;3326,622009;1,177416;-0,003192;0,129280
186;3349,678040;1,180611;-0,006243;0,129598
187;3375,289917;1,188622;-0,005011;0,127951
188;3398,345947;1,195021;-0,002215;0,131610
189;3422,676086;1,203022;-0,000986;0,131173
