'Index';'Force [N]';'Crosshead [mm]';'epsXX [%]';'epsYY [%]'
1;8.285522;-1.035023;0.000000;0.000000
2;88.973999;-1.039829;0.003415;0.005094
3;90.255737;-1.041431;0.003229;0.005532
4;91.529846;-1.039829;-0.000083;0.005308
5;92.811584;-0.005646;0.003668;0.004749
6;92.811584;-0.005646;0.001084;0.004843
7;106.903076;-0.004053;0.000764;0.005429
8;133.796692;-0.000849;0.003320;0.008232
9;170.936584;0.005560;0.001392;0.009602
10;220.886230;0.007153;0.003735;0.010899
11;277.236938;0.016766;0.001894;0.012922
12;332.305908;0.024767;0.001757;0.015722
13;387.382507;0.029573;0.001963;0.019161
14;443.733215;0.035973;0.003259;0.019627
15;496.238708;0.042372;-0.001413;0.021277
16;548.751831;0.048780;0.001431;0.023953
17;601.257324;0.058384;-0.002100;0.025705
18;648.643494;0.063190;0.003920;0.028512
19;698.593140;0.071192;0.002127;0.030137
20;745.979309;0.077600;0.001474;0.030901
21;789.527893;0.082397;-0.000453;0.033832
22;831.787109;0.090399;0.000892;0.035280
23;874.053955;0.096807;0.001971;0.036663
24;913.757324;0.104809;0.001289;0.038296
25;952.178955;0.111217;0.000824;0.039264
26;986.755371;0.114412;0.002532;0.041330
27;1018.775940;0.122423;0.001788;0.042370
28;1048.225403;0.128822;0.003472;0.043747
29;1075.126648;0.135231;0.005063;0.044255
30;1094.337463;0.141630;0.005095;0.045841
31;1113.548279;0.149641;0.002653;0.046127
32;1131.477356;0.156040;0.001042;0.046613
33;1146.842957;0.162439;0.001550;0.047850
34;1166.053772;0.170450;0.002637;0.048336
35;1185.264587;0.176849;0.002005;0.049707
36;1201.911926;0.183258;0.001395;0.050002
37;1219.848633;0.189657;0.000515;0.050917
38;1236.495972;0.197668;0.000071;0.051628
39;1251.861572;0.202465;-0.000728;0.051880
40;1268.508911;0.210466;-0.000663;0.052549
41;1287.719727;0.216875;-0.000101;0.053050
42;1303.092957;0.223274;0.001106;0.053313
43;1315.902710;0.231285;-0.000349;0.053786
44;1327.423096;0.237684;0.002315;0.055159
45;1338.951111;0.244093;0.000530;0.055350
46;1350.479126;0.248890;0.005521;0.055557
47;1362.007141;0.256901;0.001354;0.056762
48;1373.527527;0.264902;-0.004586;0.056921
49;1381.217957;0.271301;0.002037;0.056700
50;1388.900757;0.276108;0.001309;0.057410
51;1396.583557;0.282507;-0.001191;0.056200
52;1402.984619;0.292120;-0.001356;0.056692
53;1410.675049;0.296917;0.002073;0.056747
54;1414.512634;0.303326;0.001110;0.056719
55;1417.076111;0.309725;0.001016;0.057080
56;1420.921326;0.317726;0.003353;0.057564
57;1423.477173;0.324135;0.001167;0.058263
58;1424.758911;0.330534;0.002868;0.057944
59;1426.040649;0.336943;0.000358;0.058660
60;1428.604126;0.341740;-0.001632;0.058755
61;1427.322388;0.349751;-0.000474;0.059041
62;1429.885864;0.357752;0.003698;0.058706
63;1431.159973;0.362558;0.002408;0.058308
64;1433.723450;0.370560;0.002096;0.059719
65;1435.005188;0.376968;0.002412;0.058752
66;1437.568665;0.381765;-0.001977;0.056831
67;1447.814941;0.388174;0.005175;0.059914
68;1456.779480;0.396175;-0.002098;0.057917
69;1464.462280;0.400982;-0.000806;0.060401
70;1472.145081;0.410585;0.003059;0.060544
71;1475.990295;0.416985;-0.002504;0.060362
72;1482.391357;0.423393;0.000173;0.060573
73;1487.518311;0.429792;0.000721;0.061543
74;1493.919373;0.436201;0.001393;0.061741
75;1500.320435;0.445805;0.001436;0.062089
