'Index';'Force [N]';'Crosshead [mm]';'epsXX [%]';'epsYY [%]'
1;7.003784;34.946718;0.000000;0.000000
2;59.516907;1.012516;0.002826;0.004512
3;56.953430;1.012516;0.000980;0.004728
4;55.671692;1.010923;0.004686;0.004716
5;58.235168;-0.007248;0.001206;0.002938
6;58.235168;-0.005646;0.003133;0.004684
7;62.080383;-0.002451;0.000162;0.005240
8;64.636230;0.000753;0.002029;0.005423
9;68.481445;0.007153;0.003506;0.006041
10;73.600769;0.011959;0.003293;0.006058
11;80.009460;0.018368;0.007696;0.005628
12;85.128784;0.024767;-0.000631;0.005002
13;90.255737;0.032768;0.005431;0.005507
14;96.656799;0.039177;-0.007276;0.006048
15;103.057861;0.045576;0.001499;0.006848
16;113.304138;0.053587;0.002980;0.008391
17;118.431091;0.058384;0.003117;0.006811
18;128.677368;0.064793;0.005567;0.007334
19;136.360168;0.072794;-0.001160;0.007997
20;145.324707;0.079193;0.003184;0.008543
21;154.289246;0.085602;0.001398;0.007518
22;165.817261;0.092001;0.000772;0.009466
23;176.063538;0.098410;-0.000549;0.009031
24;187.583923;0.104809;0.002121;0.009366
25;199.111938;0.112820;0.005985;0.007392
26;211.921692;0.119219;0.000658;0.010062
27;224.731445;0.125628;-0.000367;0.008285
28;238.815308;0.132027;-0.000270;0.009745
29;252.906799;0.140028;0.003696;0.012173
30;269.554138;0.144835;0.008480;0.014024
31;284.919739;0.151234;0.006358;0.014030
32;300.292969;0.157642;0.002866;0.013099
33;316.940308;0.164042;0.004357;0.015133
34;334.869385;0.170450;0.001659;0.016031
35;354.080200;0.176849;0.002059;0.016806
36;372.009277;0.186453;0.001232;0.016913
37;391.220093;0.192862;0.006228;0.017790
38;411.712646;0.197668;0.001199;0.018692
39;429.641724;0.205669;0.001491;0.020196
40;451.416016;0.212069;0.002473;0.020253
41;470.626831;0.220079;0.003927;0.020599
42;492.401123;0.226479;0.003768;0.021869
43;515.449524;0.231285;0.004174;0.023018
44;535.942078;0.237684;0.003922;0.023602
45;557.716370;0.244093;0.002549;0.024276
46;580.764771;0.252094;0.003064;0.025075
47;603.820801;0.258493;0.004941;0.026324
48;626.876831;0.266504;0.001750;0.025304
49;649.925232;0.271301;0.000862;0.029609
50;674.263000;0.277710;0.001415;0.028503
51;699.874878;0.285711;0.002502;0.030238
52;724.205017;0.292120;0.000430;0.030831
53;751.106262;0.296917;-0.000078;0.031519
54;774.154663;0.306520;0.001231;0.032618
55;801.048279;0.311327;0.001284;0.033225
56;827.949524;0.320930;0.001871;0.034065
57;853.561401;0.327339;0.001265;0.034011
58;879.173279;0.332136;0.001162;0.037009
59;904.785156;0.340147;0.001193;0.037664
60;932.968140;0.344944;0.001068;0.038778
61;958.580017;0.351353;0.002361;0.040121
62;988.037109;0.359354;0.003458;0.040347
63;1014.930725;0.365753;0.001343;0.041397
64;1043.106079;0.372162;0.002571;0.043204
65;1068.717957;0.380163;0.000897;0.044486
66;1098.175049;0.384970;0.003064;0.045000
67;1125.068665;0.391369;0.002093;0.046935
68;1153.251648;0.397778;0.001230;0.048292
69;1180.145264;0.404177;0.000609;0.049161
70;1208.320618;0.410585;0.001129;0.050153
71;1235.214233;0.418587;0.001180;0.051459
72;1262.107849;0.423393;0.000920;0.052303
73;1290.283203;0.431395;-0.003303;0.053833
74;1317.176819;0.439396;0.000594;0.054758
