'Index';'Force [N]';'Crosshead [mm]';'epsXX [%]';'epsYY [%]'
1;9.567261;-0.016861;0.000000;0.000000
2;78.727722;0.011959;0.000537;0.002514
3;77.445984;0.013561;0.002081;0.002459
4;77.445984;-0.005646;0.000920;0.001099
5;80.009460;-0.004053;0.002270;0.002084
6;86.410522;-0.004053;0.003602;0.001534
7;104.339600;-0.000849;0.000395;0.002710
8;133.796692;0.000753;0.000782;0.004639
9;174.781799;0.005560;0.002714;0.005117
10;229.850769;0.010357;-0.003395;0.009942
11;282.363892;0.018368;0.002100;0.010648
12;334.869385;0.023165;0.001406;0.013336
13;386.100769;0.029573;0.003014;0.016843
14;434.768677;0.039177;0.003152;0.016969
15;480.873108;0.045576;-0.000770;0.017075
16;525.695801;0.051985;0.000137;0.019067
17;566.680908;0.058384;0.001144;0.020966
18;603.820801;0.064793;0.000891;0.021226
19;639.678955;0.072794;0.000957;0.023846
20;674.263000;0.079193;0.000175;0.024310
21;707.557678;0.087204;-0.000584;0.026048
22;735.733032;0.092001;-0.002062;0.027157
23;763.908386;0.100012;-0.000856;0.028290
24;792.083740;0.106411;-0.001313;0.028527
25;817.703247;0.114412;-0.003751;0.029159
26;839.469910;0.117617;-0.002877;0.031050
27;861.244202;0.127220;-0.002651;0.031696
28;881.736755;0.132027;-0.006089;0.032665
29;900.947571;0.140028;-0.004694;0.033355
30;917.594910;0.144835;-0.005751;0.033933
31;936.805725;0.152836;-0.006688;0.034557
32;952.178955;0.160847;-0.005554;0.036940
33;966.262817;0.165644;-0.005283;0.037123
34;977.790833;0.175247;-0.006239;0.036900
35;990.600586;0.180054;-0.003813;0.037161
36;1002.120972;0.186453;-0.004297;0.038442
37;1013.648987;0.192862;-0.002584;0.038979
38;1026.458740;0.199261;-0.004165;0.038081
39;1036.705017;0.204067;-0.003846;0.038746
40;1045.669556;0.212069;-0.005250;0.038872
41;1059.753418;0.220079;-0.007108;0.038207
42;1073.844910;0.226479;-0.005656;0.038579
43;1090.492249;0.231285;-0.001777;0.040474
44;1103.302002;0.240889;-0.004170;0.041000
45;1117.385864;0.245686;-0.002668;0.040385
46;1131.477356;0.252094;-0.001436;0.042057
47;1145.561218;0.258493;0.003381;0.041422
48;1159.652710;0.266504;-0.001511;0.044764
49;1172.454834;0.271301;-0.002041;0.044205
50;1185.264587;0.277710;-0.003120;0.044329
51;1198.074341;0.284109;0.005095;0.046924
52;1210.876465;0.290518;-0.010604;0.043943
53;1224.967957;0.300121;-0.002305;0.044168
54;1236.495972;0.306520;-0.005297;0.048535
55;1249.298096;0.312929;0.004045;0.048303
56;1259.544373;0.317726;-0.006275;0.043708
57;1269.790649;0.325737;-0.005172;0.048819
58;1278.755188;0.332136;-0.004729;0.048553
59;1290.283203;0.338545;-0.006746;0.048750
60;1297.966003;0.343342;-0.006407;0.048246
61;1308.212280;0.351353;-0.004468;0.047635
62;1317.176819;0.359354;-0.007904;0.051151
63;1324.867249;0.364161;-0.006949;0.048807
64;1331.268311;0.373764;-0.007731;0.051078
65;1337.669373;0.378561;-0.010388;0.048814
66;1344.078064;0.386572;-0.003058;0.050872
67;1350.479126;0.392971;-0.006754;0.051772
68;1356.880188;0.399380;-0.010474;0.047978
69;1363.288879;0.405779;-0.014458;0.052466
70;1364.562988;0.413780;-0.008143;0.048353
71;1368.408203;0.418587;-0.006721;0.046952
72;1368.408203;0.426588;-0.004877;0.053705
73;1370.971680;0.432997;-0.006426;0.050326
74;1372.253418;0.439396;-0.005695;0.052207
75;1376.091003;0.448999;-0.008675;0.050096
