Index,Force [N],Crosshead [mm],epsX [%],epsY [%],epsXY []
105,1994.726181,0.647493,-0.03969,-0.096861,-0.014718
106,2004.640579,0.653889,-0.040459,-0.102899,-0.014912
107,2014.55307,0.660284,-0.038806,-0.10396,-0.01513
108,2023.826599,0.667318,-0.03902,-0.102598,-0.01535
109,2033.100128,0.673395,-0.039792,-0.104318,-0.015549
110,2042.694092,0.680429,-0.03948,-0.107906,-0.015768
111,2051.328659,0.686825,-0.04465,-0.109785,-0.015964
112,2060.281754,0.693861,-0.042614,-0.108779,-0.016186
113,2070.194244,0.700577,-0.043211,-0.113353,-0.016399
114,2078.510284,0.706972,-0.04237,-0.112976,-0.016604
115,2087.783813,0.713688,-0.041906,-0.112627,-0.016835
116,2096.097946,0.720402,-0.040684,-0.117852,-0.017013
117,2104.412079,0.727118,-0.044529,-0.117419,-0.017243
118,2113.044739,0.733833,-0.04439,-0.115756,-0.017463
119,2120.71991,0.740229,-0.045149,-0.118097,-0.017681
120,2128.715515,0.746944,-0.050485,-0.126973,-0.017866
121,2137.029648,0.75366,-0.045094,-0.123207,-0.018106
122,2145.023346,0.760374,-0.046705,-0.12219,-0.018339
123,2153.657913,0.766771,-0.053839,-0.127932,-0.018554
124,2161.333084,0.773806,-0.046705,-0.123576,-0.01876
125,2168.68782,0.780201,-0.052172,-0.128133,-0.018979
126,2176.042557,0.787237,-0.051797,-0.126234,-0.019185
127,2183.717728,0.793633,-0.052288,-0.126923,-0.019439
128,2191.390991,0.800028,-0.056194,-0.130419,-0.019608
129,2199.386597,0.806744,-0.049535,-0.129662,-0.019818
130,2206.741333,0.813457,-0.055879,-0.141875,-0.020081
131,2214.735031,0.820173,-0.049223,-0.134078,-0.02023
132,2221.77124,0.826889,-0.058367,-0.136306,-0.020501
133,2228.805542,0.833284,-0.06058,-0.139738,-0.020714
134,2236.160278,0.84,-0.060671,-0.145889,-0.020968
135,2243.516922,0.846716,-0.061734,-0.143568,-0.021172
136,2250.551224,0.85375,-0.054449,-0.144782,-0.021388
137,2257.90596,0.860146,-0.051937,-0.14684,-0.021604
138,2265.260696,0.866861,-0.059575,-0.1488,-0.021848
139,2271.656036,0.873577,-0.05464,-0.146689,-0.022084
140,2278.692245,0.880293,-0.058036,-0.151945,-0.022266
141,2285.726547,0.886688,-0.055814,-0.152453,-0.022506
142,2292.442322,0.893084,-0.056747,-0.149154,-0.022706
143,2299.476624,0.899799,-0.06395,-0.156392,-0.022941
144,2307.151794,0.906834,-0.062832,-0.159379,-0.023175
145,2314.506531,0.913549,-0.05924,-0.159103,-0.0234
146,2321.54274,0.919945,-0.064324,-0.161786,-0.023597
147,2328.577042,0.926661,-0.067162,-0.165776,-0.023851
148,2334.653854,0.933376,-0.069145,-0.165958,-0.024062
149,2342.008591,0.940092,-0.069018,-0.163489,-0.024309
150,2348.403931,0.946487,-0.069178,-0.169833,-0.024506
151,2355.119705,0.953203,-0.070514,-0.167109,-0.024745
152,2362.154007,0.960238,-0.072182,-0.169912,-0.024982
153,2368.549347,0.966633,-0.072724,-0.173796,-0.025193
154,2375.585556,0.973669,-0.071774,-0.174941,-0.025423
155,2381.660461,0.980383,-0.072424,-0.175934,-0.025635
156,2388.696671,0.98678,-0.062626,-0.174731,-0.025878
157,2395.412445,0.993494,-0.069726,-0.174933,-0.026122
158,2401.166916,1.00021,-0.073698,-0.179437,-0.026323
159,2407.88269,1.006605,-0.075439,-0.181746,-0.026562
160,2415.237427,1.013321,-0.077081,-0.179366,-0.026826
161,2421.953201,1.020037,-0.078666,-0.186999,-0.027003
162,2428.348541,1.027071,-0.080178,-0.187913,-0.027246
163,2435.38475,1.033466,-0.081533,-0.187557,-0.027466
164,2441.459656,1.039864,-0.08355,-0.19533,-0.027676
165,2447.536469,1.047218,-0.081006,-0.193068,-0.027917
166,2454.250336,1.053293,-0.07991,-0.193443,-0.028146
167,2460.006714,1.060009,-0.08611,-0.194789,-0.028393
168,2465.763092,1.067043,-0.085726,-0.194932,-0.028621
169,2472.478867,1.07312,-0.086982,-0.198773,-0.028831
170,2478.553772,1.079836,-0.086981,-0.200196,-0.029065
171,2485.269547,1.086231,-0.088615,-0.201,-0.02928
172,2491.985321,1.092947,-0.087802,-0.204747,-0.029525
173,2497.421265,1.099981,-0.091106,-0.205772,-0.029747
174,2504.776001,1.106377,-0.093146,-0.209986,-0.029957
175,2510.532379,1.113413,-0.09629,-0.206577,-0.030198
176,2517.568588,1.120129,-0.096129,-0.207671,-0.030431
177,2523.963928,1.126524,-0.093705,-0.212675,-0.030676
178,2529.720306,1.132919,-0.095577,-0.212257,-0.030892
179,2536.754608,1.139954,-0.098752,-0.216408,-0.031125
180,2542.190552,1.146669,-0.09719,-0.22081,-0.031394
181,2548.906326,1.153065,-0.098181,-0.21961,-0.031606
182,2554.981232,1.159781,-0.099582,-0.223183,-0.031825
183,2560.419083,1.166815,-0.101225,-0.222968,-0.032068
184,2566.814423,1.173212,-0.10523,-0.227044,-0.032298
185,2572.889328,1.179926,-0.105379,-0.226869,-0.032522
186,2579.284668,1.186323,-0.104003,-0.227441,-0.032778
187,2585.680008,1.193357,-0.107824,-0.232895,-0.032994
188,2592.716217,1.199753,-0.109091,-0.232406,-0.033248
189,2598.152161,1.206469,-0.111088,-0.234423,-0.033465
190,2604.228973,1.213184,-0.108928,-0.236076,-0.033709
191,2611.263275,1.220219,-0.107367,-0.238893,-0.033951
192,2616.380692,1.226295,-0.113341,-0.23806,-0.034184
193,2622.776031,1.233009,-0.112351,-0.241034,-0.034435
194,2628.211975,1.239725,-0.113786,-0.243351,-0.034669
195,2633.968353,1.246441,-0.115081,-0.247091,-0.034908
196,2640.363693,1.253157,-0.114887,-0.24642,-0.035129
197,2646.759033,1.259872,-0.115617,-0.248588,-0.035385
198,2651.556015,1.266586,-0.119608,-0.249408,-0.035604
199,2657.63092,1.273302,-0.120696,-0.249708,-0.035828
200,2663.387299,1.279697,-0.120171,-0.25577,-0.036074
201,2668.823242,1.286413,-0.125087,-0.255139,-0.036305
202,2674.900055,1.293129,-0.123113,-0.259831,-0.036542
203,2681.615829,1.299845,-0.126731,-0.259248,-0.036782
204,2687.3703,1.30624,-0.127641,-0.260742,-0.03702
205,2693.767548,1.313274,-0.128606,-0.263735,-0.037253
206,2700.162888,1.31967,-0.13057,-0.26558,-0.037485
207,2705.919266,1.326067,-0.12894,-0.269268,-0.037746
208,2711.355209,1.333101,-0.129341,-0.272466,-0.037992
209,2718.389511,1.339817,-0.128088,-0.272153,-0.038236
210,2723.825455,1.346533,-0.132107,-0.27551,-0.038475
211,2729.261398,1.353247,-0.119665,-0.276956,-0.03872
212,2735.017776,1.359962,-0.133417,-0.273756,-0.038979
213,2741.733551,1.366678,-0.134107,-0.280103,-0.039205
214,2746.210098,1.373074,-0.135474,-0.28277,-0.039441
215,2751.646042,1.379469,-0.139513,-0.283688,-0.039676
216,2758.361816,1.386505,-0.141255,-0.284128,-0.039914
217,2763.158798,1.3929,-0.139285,-0.288658,-0.040166
218,2768.915176,1.399616,-0.141958,-0.287848,-0.040429
219,2775.310516,1.406332,-0.142185,-0.293641,-0.040618
220,2780.74646,1.412727,-0.141179,-0.292227,-0.040897
221,2786.182404,1.419441,-0.145162,-0.298005,-0.041136
222,2792.259216,1.426157,-0.148695,-0.298135,-0.041355
223,2798.334122,1.433193,-0.156687,-0.296859,-0.041574
224,2804.0905,1.439268,-0.162029,-0.31234,-0.041809
225,2809.846878,1.446623,-0.158071,-0.306266,-0.04209
226,2814.964294,1.453339,-0.157873,-0.311788,-0.042322
227,2821.998596,1.459734,-0.157652,-0.314612,-0.042556
228,2828.073502,1.466129,-0.153609,-0.312977,-0.042812
229,2832.870483,1.472845,-0.156311,-0.310961,-0.043119
230,2838.626862,1.479881,-0.150976,-0.316095,-0.043322
231,2844.703674,1.486277,-0.154816,-0.316011,-0.04355
232,2849.819183,1.492992,-0.162723,-0.320162,-0.043761
233,2855.895996,1.499706,-0.163806,-0.323103,-0.04401
234,2861.33194,1.506422,-0.158596,-0.318643,-0.044261
235,2868.047714,1.512817,-0.160015,-0.327327,-0.0445
236,2872.203827,1.519533,-0.166427,-0.327343,-0.04478
237,2878.599167,1.526249,-0.167346,-0.330547,-0.04497
238,2884.994507,1.533283,-0.168717,-0.3358,-0.045214
239,2889.791489,1.53936,-0.172895,-0.339419,-0.045453
240,2895.868301,1.546076,-0.170469,-0.339918,-0.045699
241,2902.263641,1.55311,-0.169152,-0.339451,-0.045955
242,2906.740189,1.559187,-0.172262,-0.342854,-0.046179
